ssyk2012_4	year	daioe_allapps	daioe_stratgames	daioe_videogames	daioe_imgrec	daioe_imgcompr	daioe_imggen	daioe_readcompr	daioe_lngmod	daioe_translat	daioe_speechrec	daioe_genai	pctl_rank_allapps	pctl_rank_stratgames	pctl_rank_videogames	pctl_rank_imgrec	pctl_rank_imgcompr	pctl_rank_imggen	pctl_rank_readcompr	pctl_rank_lngmod	pctl_rank_translat	pctl_rank_speechrec	pctl_rank_genai	ssyk2012_1	ssyk2012_2	ssyk2012_3
0310 Soldater m.fl.	2015																							0 Militära yrken	03 Soldater m.fl.	031 Soldater m.fl.
0310 Soldater m.fl.	2016																							0 Militära yrken	03 Soldater m.fl.	031 Soldater m.fl.
0310 Soldater m.fl.	2017																							0 Militära yrken	03 Soldater m.fl.	031 Soldater m.fl.
0310 Soldater m.fl.	2018																							0 Militära yrken	03 Soldater m.fl.	031 Soldater m.fl.
0310 Soldater m.fl.	2019																							0 Militära yrken	03 Soldater m.fl.	031 Soldater m.fl.
0310 Soldater m.fl.	2020																							0 Militära yrken	03 Soldater m.fl.	031 Soldater m.fl.
0310 Soldater m.fl.	2021																							0 Militära yrken	03 Soldater m.fl.	031 Soldater m.fl.
0310 Soldater m.fl.	2022																							0 Militära yrken	03 Soldater m.fl.	031 Soldater m.fl.
0310 Soldater m.fl.	2023																							0 Militära yrken	03 Soldater m.fl.	031 Soldater m.fl.
1111 Politiker	2010																							1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1111 Politiker	2011																							1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1111 Politiker	2012																							1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1111 Politiker	2013																							1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1111 Politiker	2014																							1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1111 Politiker	2015																							1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1111 Politiker	2016																							1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1111 Politiker	2017																							1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1111 Politiker	2018																							1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1111 Politiker	2019																							1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1111 Politiker	2020																							1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1111 Politiker	2021																							1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1111 Politiker	2022																							1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1111 Politiker	2023																							1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1112 General-, landstings- och kommundirektörer m.fl.	2010	.24246101	.076826334		.023576558						.003809425		49.759998	42.200001		42.91						55.439999		1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1112 General-, landstings- och kommundirektörer m.fl.	2011	.4060955	.15288535		.028071247						.0076188501		49.759998	42.200001		42.91						55.439999		1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1112 General-, landstings- och kommundirektörer m.fl.	2012	.6122449	.16526043		.072172329				.000515992		.019750971	.000515992	49.049999	42.200001		42.91				57.330002		55.439999	57.330002	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1112 General-, landstings- och kommundirektörer m.fl.	2013	2.7095151	.17763551	1.046422	.1023461				.0014421188		.031883094	.0014421188	9.1000004	42.200001	7.21	42.91				57.330002		55.439999	57.330002	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1112 General-, landstings- och kommundirektörer m.fl.	2014	4.4858398	.19001058	1.6692214	.13381986			.0031827411	.0124987		.040676098	.0124987	9.3400002	42.200001	7.21	42.91			59.93	57.330002		55.439999	57.330002	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1112 General-, landstings- och kommundirektörer m.fl.	2015	8.0176992	.20349485	2.2920208	.16925302		.026641963	.0053482521	.022632474	.0031492217	.21697183	.082125895	15.01	42.200001	7.21	42.91		62.77	59.93	57.330002	56.619999	55.439999	62.529999	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1112 General-, landstings- och kommundirektörer m.fl.	2016	12.93185	.25263786	2.4689112	.17298438	.046119124	.34506232	.14005174	.037619386	.0089230239	.24573213	.55364865	32.029999	42.200001	7.21	42.91	54.02	62.77	59.93	57.330002	56.619999	55.439999	61.82	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1112 General-, landstings- och kommundirektörer m.fl.	2017	13.45542	.25431821	2.4848783	.19263107	.063630134	.34511125	.14387906	.040268321	.01288535	.25586274	.55706632	33.919998	42.200001	7.21	42.91	54.02	62.77	59.93	57.330002	56.619999	55.439999	61.82	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1112 General-, landstings- och kommundirektörer m.fl.	2018	15.789456	.25445902	2.8467894	.20404309	.063662849	.40807128	.15123582	.095600389	.017840324	.28146452	.79336518	34.869999	42.200001	7.21	42.91	54.02	62.77	59.93	57.330002	56.619999	55.439999	62.77	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1112 General-, landstings- och kommundirektörer m.fl.	2019	20.626396	.2545329	3.5802174	.26809907	.068700217	.4551481	.20367709	.13702688	.034510456	.33548388	.97016191	36.759998	42.200001	7.21	42.91	54.02	62.77	59.93	57.330002	56.619999	55.439999	62.529999	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1112 General-, landstings- och kommundirektörer m.fl.	2020	23.128395	.25456858	3.6027179	.32765734	.081611142	.54689705	.20645383	.33698481	.038139388	.37771252	1.5326734	41.02	42.200001	7.21	42.91	54.02	62.77	59.93	57.330002	56.619999	55.439999	62.290001	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1112 General-, landstings- och kommundirektörer m.fl.	2021	25.411869	.25465018	3.6061487	.38741076	.1444564	.7037313	.21806473	.40450209	.039749824	.39870632	1.9627626	44.799999	42.200001	7.21	42.91	54.02	62.77	59.93	57.330002	56.619999	55.439999	62.290001	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1112 General-, landstings- och kommundirektörer m.fl.	2022	27.85594	.25465026	3.6166885	.40030047	.16473575	.73581207	.25859249	.79277223	.040529858	.42873919	2.6062524	46.450001	42.200001	7.21	42.91	54.02	62.77	59.93	57.330002	56.619999	55.439999	62.529999	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1112 General-, landstings- och kommundirektörer m.fl.	2023	31.355038	.25465032	3.6194549	.40286443	.2245349	.73905766	.42318544	1.0278391	.040983684	.73567671	2.8997889	47.869999	42.200001	7.21	42.91	54.02	62.77	59.93	57.330002	56.619999	55.439999	62.529999	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1113 Chefstjänstemän i intresseorganisationer	2010	.260777	.081374943		.025698626						.0042440491		59.689999	58.040001		58.509998						66.550003		1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1113 Chefstjänstemän i intresseorganisationer	2011	.43627912	.16193715		.030597873						.0084880982		59.220001	58.040001		58.509998						66.550003		1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1113 Chefstjänstemän i intresseorganisationer	2012	.6607182	.17504491		.078668386				.00056777161		.022004396	.00056777161	59.689999	58.040001		58.509998				68.440002		66.550003	68.440002	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1113 Chefstjänstemän i intresseorganisationer	2013	2.8794796	.18815267	1.0943986	.11155804				.0015868349		.035520691	.0015868349	20.690001	58.040001	11.7	58.509998				68.440002		66.550003	68.440002	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1113 Chefstjänstemän i intresseorganisationer	2014	4.7677155	.20126043	1.7457521	.14586468			.0034686117	.01375294		.045316905	.01375294	21.389999	58.040001	11.7	58.509998			68.910004	68.440002		66.550003	68.440002	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1113 Chefstjänstemän i intresseorganisationer	2015	8.5599051	.21554305	2.3971057	.18448709		.028426275	.0058286269	.024903635	.003553113	.24172652	.08891701	31.799999	58.040001	11.7	58.509998		72.93	68.910004	68.440002	70.330002	66.550003	70.57	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1113 Chefstjänstemän i intresseorganisationer	2016	13.850525	.26759565	2.5821064	.1885543	.050760847	.36817241	.15263104	.04139448	.010067411	.27376813	.59477079	52.130001	58.040001	11.7	58.509998	65.370003	72.93	68.910004	68.440002	70.330002	66.550003	72.220001	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1113 Chefstjänstemän i intresseorganisationer	2017	14.420744	.26937547	2.5988057	.20996934	.070034273	.36822462	.15680212	.044309236	.01453791	.28505456	.59851754	54.259998	58.040001	11.7	58.509998	65.370003	72.93	68.910004	68.440002	70.330002	66.550003	72.220001	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1113 Chefstjänstemän i intresseorganisationer	2018	16.926134	.26952463	2.9773095	.22240853	.070070282	.43540135	.16481966	.10519385	.020128366	.31357729	.85441244	54.490002	58.040001	11.7	58.509998	65.370003	72.93	68.910004	68.440002	70.330002	66.550003	71.75	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1113 Chefstjänstemän i intresseorganisationer	2019	22.128151	.26960289	3.7443638	.29223004	.075614646	.48563105	.22197115	.15077747	.038936455	.37375981	1.0458717	54.73	58.040001	11.7	58.509998	65.370003	72.93	68.910004	68.440002	70.330002	66.550003	71.510002	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1113 Chefstjänstemän i intresseorganisationer	2020	24.853039	.26964068	3.7678962	.35714903	.089825004	.58352482	.2249973	.37080112	.043030802	.42080641	1.6571443	56.619999	58.040001	11.7	58.509998	65.370003	72.93	68.910004	68.440002	70.330002	66.550003	70.800003	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1113 Chefstjänstemän i intresseorganisationer	2021	27.338873	.26972711	3.7714844	.4222807	.15899542	.75086284	.23765108	.44509375	.044847779	.44419542	2.1216452	57.799999	58.040001	11.7	58.509998	65.370003	72.93	68.910004	68.440002	70.330002	66.550003	70.800003	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1113 Chefstjänstemän i intresseorganisationer	2022	30.00909	.2697272	3.7825072	.43633059	.18131581	.78509218	.28181899	.87232667	.045727853	.47765478	2.8248279	58.75	58.040001	11.7	58.509998	65.370003	72.93	68.910004	68.440002	70.330002	66.550003	70.57	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1113 Chefstjänstemän i intresseorganisationer	2023	33.85648	.26972726	3.7854004	.43912533	.24713352	.78855515	.46119553	1.1309824	.046239883	.81961137	3.1467693	59.93	58.040001	11.7	58.509998	65.370003	72.93	68.910004	68.440002	70.330002	66.550003	70.57	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	111 Politiker och högre ämbetsmän
1120 Verkställande direktörer m.fl.	2010	.24799034	.078477487		.023759034						.0040589236		51.889999	50		44.330002						58.98		1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	112 Verkställande direktörer m.fl.
1120 Verkställande direktörer m.fl.	2011	.41588181	.15617117		.028288512						.0081178471		51.889999	50		44.330002						58.98		1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	112 Verkställande direktörer m.fl.
1120 Verkställande direktörer m.fl.	2012	.6276561	.16881222		.072730921				.00054074009		.021044564	.00054074009	52.360001	50		44.330002				63.950001		58.98	63.950001	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	112 Verkställande direktörer m.fl.
1120 Verkställande direktörer m.fl.	2013	2.7656813	.18145326	1.0626314	.10313824				.001511286		.03397128	.001511286	14.78	50	8.1599998	44.330002				63.950001		58.98	63.950001	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	112 Verkställande direktörer m.fl.
1120 Verkställande direktörer m.fl.	2014	4.5812216	.1940943	1.695078	.13485561			.0033200749	.013098164		.04334018	.013098164	18.09	50	8.1599998	44.330002			65.599998	63.950001		58.98	63.950001	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	112 Verkställande direktörer m.fl.
1120 Verkställande direktörer m.fl.	2015	8.2192469	.20786837	2.3275247	.170563		.026984477	.0055790264	.023717977	.0033714455	.2311824	.084558561	19.030001	50	8.1599998	44.330002		64.660004	65.599998	63.950001	62.77	58.98	65.599998	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	112 Verkställande direktörer m.fl.
1120 Verkställande direktörer m.fl.	2016	13.27319	.25806755	2.5071554	.17432325	.047424488	.34949851	.14609489	.039423693	.0095526744	.26182637	.5651176	40.07	50	8.1599998	44.330002	56.380001	64.660004	65.599998	63.950001	62.77	58.98	64.419998	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	112 Verkställande direktörer m.fl.
1120 Verkställande direktörer m.fl.	2017	13.814078	.25978401	2.5233698	.19412199	.065431133	.34954807	.15008736	.042199679	.013794601	.2726205	.568685	41.02	50	8.1599998	44.330002	56.380001	64.660004	65.599998	63.950001	62.77	58.98	64.419998	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	112 Verkställande direktörer m.fl.
1120 Verkställande direktörer m.fl.	2018	16.215378	.25992787	2.8908868	.20562235	.065464772	.41331753	.15776156	.1001856	.019099221	.29989904	.81205595	42.200001	50	8.1599998	44.330002	56.380001	64.660004	65.599998	63.950001	62.77	58.98	64.889999	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	112 Verkställande direktörer m.fl.
1120 Verkställande direktörer m.fl.	2019	21.192928	.26000336	3.6356757	.27017412	.070644721	.46099955	.21246564	.14359899	.036945671	.35745639	.99414498	42.91	50	8.1599998	44.330002	56.380001	64.660004	65.599998	63.950001	62.77	58.98	65.129997	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	112 Verkställande direktörer m.fl.
1120 Verkställande direktörer m.fl.	2020	23.778627	.26003978	3.658525	.33019334	.083921075	.55392808	.21536221	.35314733	.040830679	.4024508	1.575708	47.869999	50	8.1599998	44.330002	56.380001	64.660004	65.599998	63.950001	62.77	58.98	65.370003	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	112 Verkställande direktörer m.fl.
1120 Verkställande direktörer m.fl.	2021	26.129622	.26012313	3.662009	.39040923	.14854513	.71277863	.22747409	.42390293	.042554755	.42481962	2.0173438	49.049999	50	8.1599998	44.330002	56.380001	64.660004	65.599998	63.950001	62.77	58.98	65.370003	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	112 Verkställande direktörer m.fl.
1120 Verkställande direktörer m.fl.	2022	28.66857	.26012322	3.6727121	.40339872	.16939846	.74527186	.2697506	.83079529	.043389831	.45681947	2.686692	50.950001	50	8.1599998	44.330002	56.380001	64.660004	65.599998	63.950001	62.77	58.98	65.599998	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	112 Verkställande direktörer m.fl.
1120 Verkställande direktörer m.fl.	2023	32.331161	.26012331	3.6755211	.40598252	.23089017	.74855918	.44144568	1.0771365	.043875683	.78385991	2.9932334	51.889999	50	8.1599998	44.330002	56.380001	64.660004	65.599998	63.950001	62.77	58.98	64.889999	1 Chefsyrken	11 Politiker, verkställande direktörer och högre ämbetsmän m.fl.	112 Verkställande direktörer m.fl.
1211 Ekonomi- och finanschefer, nivå 1	2010	.31289721	.10068966		.02992079						.0047769714		87.830002	89.239998		81.910004						82.389999		1 Chefsyrken	12 Chefer inom ekonomi, personal, marknadsföring och försäljning samt annan administration m.m.	121 Ekonomi- och finanschefer
1211 Ekonomi- och finanschefer, nivå 1	2011	.52480507	.20037366		.035624959						.0095539428		88.059998	89.239998		81.910004						82.620003		1 Chefsyrken	12 Chefer inom ekonomi, personal, marknadsföring och försäljning samt annan administration m.m.	121 Ekonomi- och finanschefer
1211 Ekonomi- och finanschefer, nivå 1	2012	.78832769	.21659261		.091593228				.00068173185		.02476747	.00068173185	88.059998	89.239998		81.68				88.769997		82.620003	88.769997	1 Chefsyrken	12 Chefer inom ekonomi, personal, marknadsföring och försäljning samt annan administration m.m.	121 Ekonomi- och finanschefer
1211 Ekonomi- och finanschefer, nivå 1	2013	3.255945	.23281156	1.1871014	.12988648				.0019053362		.039980996	.0019053362	54.959999	89.010002	22.1	81.910004				88.529999		82.389999	88.769997	1 Chefsyrken	12 Chefer inom ekonomi, personal, marknadsföring och försäljning samt annan administration m.m.	121 Ekonomi- och finanschefer
1211 Ekonomi- och finanschefer, nivå 1	2014	5.3817077	.2490305	1.8936288	.16982955			.0041479142	.016513357		.051007312	.016513357	54.73	89.239998	22.1	81.68			87.830002	88.769997		82.389999	88.529999	1 Chefsyrken	12 Chefer inom ekonomi, personal, marknadsföring och försäljning samt annan administration m.m.	121 Ekonomi- och finanschefer
1211 Ekonomi- och finanschefer, nivå 1	2015	9.6357803	.26670316	2.6001563	.21479742		.030546689	.0069701211	.029902156	.0040079975	.27207991	.10089483	69.150002	89.010002	21.870001	81.910004		82.620003	87.589996	88.529999	84.519997	82.620003	85.93	1 Chefsyrken	12 Chefer inom ekonomi, personal, marknadsföring och försäljning samt annan administration m.m.	121 Ekonomi- och finanschefer
1211 Ekonomi- och finanschefer, nivå 1	2016	15.648838	.33111069	2.800828	.21953286	.058615655	.39563569	.18252274	.049702954	.011356283	.30814499	.65582931	79.309998	89.010002	21.870001	81.910004	84.989998	82.389999	87.589996	88.529999	84.519997	82.620003	83.57	1 Chefsyrken	12 Chefer inom ekonomi, personal, marknadsföring och försäljning samt annan administration m.m.	121 Ekonomi- och finanschefer
1211 Ekonomi- och finanschefer, nivå 1	2017	16.304237	.33331296	2.8189416	.24446629	.080871485	.39569178	.1875107	.053202745	.016399113	.32084864	.66027147	79.550003	89.010002	21.870001	81.910004	84.75	82.620003	87.830002	88.529999	84.75	82.620003	83.330002	1 Chefsyrken	12 Chefer inom ekonomi, personal, marknadsföring och försäljning samt annan administration m.m.	121 Ekonomi- och finanschefer
1211 Ekonomi- och finanschefer, nivå 1	2018	19.115383	.33349752	3.2295072	.25894919	.080913059	.46787944	.19709842	.1263078	.022705283	.35295296	.95085144	80.260002	89.010002	22.1	81.68	84.75	82.620003	87.830002	88.529999	84.75	82.389999	83.57	1 Chefsyrken	12 Chefer inom ekonomi, personal, marknadsföring och försäljning samt annan administration m.m.	121 Ekonomi- och finanschefer
1211 Ekonomi- och finanschefer, nivå 1	2019	24.975128	.33359438	4.0615363	.34024203	.087315366	.52185595	.26544264	.18104072	.043921266	.42069253	1.1682658	80.730003	89.239998	22.1	81.68	84.989998	82.389999	87.830002	88.529999	84.519997	82.389999	84.040001	1 Chefsyrken	12 Chefer inom ekonomi, personal, marknadsföring och försäljning samt annan administration m.m.	121 Ekonomi- och finanschefer
1211 Ekonomi- och finanschefer, nivå 1	2020	28.094395	.33364111	4.0870619	.41582689	.10372466	.62705195	.26906142	.44522634	.048539788	.47364673	1.8710558	81.440002	89.010002	22.1	81.910004	84.75	82.620003	87.830002	88.529999	84.75	82.620003	84.75	1 Chefsyrken	12 Chefer inom ekonomi, personal, marknadsföring och försäljning samt annan administration m.m.	121 Ekonomi- och finanschefer
1211 Ekonomi- och finanschefer, nivå 1	2021	30.930073	.33374804	4.0909538	.49165937	.18359861	.80687231	.28419337	.53443062	.050589383	.4999727	2.3933802	81.440002	89.010002	22.1	81.68	84.989998	82.620003	87.589996	88.529999	84.519997	82.389999	84.519997	1 Chefsyrken	12 Chefer inom ekonomi, personal, marknadsföring och försäljning samt annan administration m.m.	121 Ekonomi- och finanschefer
1211 Ekonomi- och finanschefer, nivå 1	2022	34.032902	.33374816	4.1029105	.5080176	.20937289	.84365487	.33701125	1.0474154	.051582128	.53763354	3.2178712	81.209999	89.010002	21.870001	81.910004	84.75	82.389999	87.830002	88.769997	84.519997	82.389999	85.93	1 Chefsyrken	12 Chefer inom ekonomi, personal, marknadsföring och försäljning samt annan administration m.m.	121 Ekonomi- och finanschefer
1211 Ekonomi- och finanschefer, nivå 1	2023	38.505562	.33374825	4.1060491	.51127148	.28537533	.84737617	.55151737	1.357987	.052159708	.92252934	3.6001549	82.150002	89.239998	21.870001	81.68	84.989998	82.389999	87.830002	88.529999	84.75	82.620003	86.169998	1 Chefsyrken	12 Chefer inom ekonomi, personal, marknadsföring och försäljning samt annan administration m.m.	121 Ekonomi- och finanschefer
1212 Ekonomi- och finanschefer, nivå 2	2010	.31289721	.10068966		.02992079						.0047769714		87.589996	89.010002		81.68						82.620003		1 Chefsyrken	12 Chefer inom ekonomi, personal, marknadsföring och försäljning samt annan administration m.m.	121 Ekonomi- och finanschefer
1212 Ekonomi- och finanschefer, nivå 2	2011	.52480507	.20037366		.035624959						.0095539428		88.300003	89.010002		81.68						82.389999		1 Chefsyrken	12 Chefer inom ekonomi, personal, marknadsföring och försäljning samt annan administration m.m.	121 Ekonomi- och finanschefer
1212 Ekonomi- och finanschefer, nivå 2	2012	.78832769	.21659261		.091593228				.00068173185		.02476747	.00068173185	87.830002	89.010002		81.910004				88.529999		82.389999	88.529999	1 Chefsyrken	12 Chefer inom ekonomi, personal, marknadsföring och försäljning samt annan administration m.m.	121 Ekonomi- och finanschefer
1212 Ekonomi- och finanschefer, nivå 2	2013	3.255945	.23281156	1.1871014	.12988648				.0019053362		.039980996	.0019053362	55.200001	89.239998	21.870001	81.68				88.769997		82.620003	88.529999	1 Chefsyrken	12 Chefer inom ekonomi, personal, marknadsföring och försäljning samt annan administration m.m.	121 Ekonomi- och finanschefer
1212 Ekonomi- och finanschefer, nivå 2	2014	5.3817077	.2490305	1.8936288	.16982955			.0041479142	.016513357		.051007312	.016513357	54.490002	89.010002	21.870001	81.910004			87.589996	88.529999		82.620003	88.769997	1 Chefsyrken	12 Chefer inom ekonomi, personal, marknadsföring och försäljning samt annan administration m.m.	121 Ekonomi- och finanschefer
